,job_id,skill
0,0,analytical skills
1,0,analytics
2,0,bachelor's degree
3,0,biopharmaceuticals
4,0,communication
5,0,data integration
6,0,data science
7,0,engineering
8,0,excel
9,0,manufacturing engineering
10,0,operations
11,0,python
12,0,python (programming language)
13,0,sas
14,0,sql
15,0,supply chain
16,0,supply chain management
17,0,supply chain operations
18,1,analytical skills
19,1,analytics
20,1,business
21,1,communication
22,1,computer science
23,1,data analysis
24,1,data analytics
25,1,data architecture
26,1,data collection
27,1,data mining
28,1,data modeling
29,1,data models
30,1,data science
31,1,databases
32,1,design
33,1,documentation
34,1,excel
35,1,hive
36,1,insurance
37,1,mathematics
38,1,microsoft power bi
39,1,power bi
40,1,relational databases
41,1,report writing
42,1,sql
43,1,sql server reporting services (ssrs)
44,1,statistical packages
45,1,statistics
46,1,troubleshooting
47,1,writing
48,2,analytics
49,2,azure
50,2,big data
51,2,business
52,2,communication
53,2,computer science
54,2,data mining
55,2,data science
56,2,data visualization
57,2,deep learning
58,2,engineering
59,2,hadoop
60,2,hive
61,2,java
62,2,java
63,2,kubernetes
64,2,machine learning
65,2,mathematics
66,2,predictive analytics
67,2,project management
68,2,python
69,2,scala
70,2,statistical analysis
71,2,statistics
72,2,tableau
73,2,writing
74,3,a/b testing
75,3,adobe analytics
76,3,amplitude analytics
77,3,analytical skills
78,3,analytics
79,3,business
80,3,communication
81,3,computer science
82,3,data analysis
83,3,data analytics
84,3,data visualization
85,3,engineering
86,3,excel
87,3,google analytics
88,3,hadoop
89,3,hive
90,3,marketing
91,3,marketing analytics
92,3,mathematics
93,3,python
94,3,sql
95,3,statistics
96,3,tableau
97,3,web analytics
98,3,written communication
99,4,advertising
100,4,analytical skills
101,4,analytics
102,4,azure
103,4,azure databricks
104,4,business
105,4,business intelligence (bi)
106,4,communication
107,4,critical thinking
108,4,data analytics
109,4,data visualization
110,4,databases
111,4,design
112,4,excel
113,4,job scheduling
114,4,marketing
115,4,problem solving
116,4,reporting tool
117,4,sales
118,4,sap
119,4,scala
120,4,sql
121,4,tableau
122,5,business
123,5,data analysis
124,5,excel
125,5,fortune 500
126,5,health policy
127,5,microsoft excel
128,5,resume
129,5,sequel
130,5,sql
131,5,tableau
132,5,writing
133,6,analytics
134,6,bachelor's degree
135,6,business
136,6,coding practices
137,6,computer science
138,6,data analysis
139,6,data analytics
140,6,data models
141,6,data science
142,6,data visualization
143,6,data warehousing
144,6,databases
145,6,design
146,6,documentation
147,6,engineering
148,6,excel
149,6,key metrics
150,6,leadership
151,6,linux
152,6,reporting tool
153,6,sql
154,6,tableau
155,6,unix
156,7,advertising
157,7,advertising campaigns
158,7,analytical skills
159,7,analytics
160,7,campaigns
161,7,communication
162,7,data analysis
163,7,datorama
164,7,dcm
165,7,documentation
166,7,excel
167,7,"extract, transform, load"
168,7,"extract, transform, load (etl)"
169,7,google analytics
170,7,google data studio
171,7,google tag manager
172,7,java
173,7,java
174,7,javascript
175,7,marketing
176,7,mathematics
177,7,microsoft excel
178,7,python
179,7,research
180,7,resume
181,7,sql
182,7,statistical analysis
183,7,tableau
184,7,web analytics
185,7,written communication
186,8,business
187,8,data analysis
188,8,engineering
189,8,project management
190,8,sas
191,9,advertising
192,9,analytics
193,9,data manipulation
194,9,data visualization
195,9,excel
196,9,ios
197,9,marketing
198,9,pandas
199,9,research
200,9,sas
201,9,scala
202,9,scripting
203,9,statistical analysis
204,9,vba
205,10,analytical skills
206,10,analytics
207,10,business
208,10,data analytics
209,10,design
210,10,excel
211,10,finance
212,10,marketing
213,10,pivot tables
214,10,power bi
215,10,problem solving
216,10,sap
217,10,tableau
218,11,amazon
219,11,amazon web service
220,11,analytics
221,11,business
222,11,data analytics
223,11,data governance
224,11,data management
225,11,databases
226,11,documentation
227,11,excel
228,11,finance
229,11,information systems
230,11,insurance
231,11,operations
232,11,power bi
233,11,process improvement
234,11,python
235,11,snowflake
236,11,sql
237,11,tableau
238,11,writing
239,12,adaptive insights
240,12,analytical skills
241,12,analytics
242,12,bachelor's degree
243,12,business
244,12,business insights
245,12,communication
246,12,computer science
247,12,data analytics
248,12,data integrity
249,12,data manipulation
250,12,data validation
251,12,data visualization
252,12,database administration
253,12,databases
254,12,excel
255,12,finance
256,12,ios
257,12,leadership
258,12,microsoft power bi
259,12,power bi
260,12,problem solving
261,12,process improvement
262,12,sales
263,12,solution focused
264,12,sql
265,12,tableau
266,13,analytical skills
267,13,business
268,13,communication
269,13,data analysis
270,13,data governance
271,13,data science
272,13,data visualization
273,13,documentation
274,13,excel
275,13,microsoft excel
276,13,pivot tables
277,13,sql
278,14,analytical skills
279,14,asset management
280,14,bachelor's degree
281,14,business
282,14,business analysis
283,14,business intelligence (bi)
284,14,capital markets
285,14,data analysis
286,14,data management
287,14,excel
288,14,finance
289,14,financial analysis
290,14,financial technology
291,14,fixed income
292,14,hedge funds
293,14,sql
294,15,communication
295,15,computer science
296,15,data architecture
297,15,design
298,15,machine learning
299,15,machine learning algorithms
300,15,mathematics
301,15,predictive modeling
302,15,python
303,15,sql
304,16,accounting
305,16,advertising
306,16,analytics
307,16,business
308,16,communication
309,16,data analysis
310,16,data integration
311,16,data quality
312,16,data visualization
313,16,design
314,16,engineering
315,16,excel
316,16,finance
317,16,marketing
318,16,operations
319,16,power bi
320,16,reporting tool
321,16,research
322,16,sales
323,16,sql
324,16,tableau
325,17,advertising
326,17,analytics
327,17,bachelor's degree
328,17,business
329,17,communication
330,17,data wrangling
331,17,engineering
332,17,excel
333,17,key metrics
334,17,marketing
335,17,mathematics
336,17,presentation skills
337,17,python
338,17,sql
339,17,statistics
340,17,tableau
341,18,accounting
342,18,analytical skills
343,18,analytics
344,18,business
345,18,communication
346,18,data analysis
347,18,data mining
348,18,data modeling
349,18,data visualization
350,18,design
351,18,engineering
352,18,excel
353,18,finance
354,18,interpersonal skills
355,18,leadership
356,18,machine learning
357,18,neural networks
358,18,pattern recognition
359,18,power bi
360,18,predictive modeling
361,18,process improvement
362,18,project management
363,18,python
364,18,sql
365,18,statistics
366,18,tableau
367,18,time management
368,19,bachelor's degree
369,19,communication
370,19,data analysis
371,19,databases
372,19,excel
373,19,problem solving
374,19,spreadsheets
375,19,written communication
376,20,advertising
377,20,advertising campaigns
378,20,analytics
379,20,business
380,20,campaigns
381,20,communication
382,20,data science
383,20,design
384,20,excel
385,20,finance
386,20,google analytics
387,20,looker
388,20,marketing
389,20,sql
390,20,statistics
391,20,written communication
392,21,advertising
393,21,analytics
394,21,big data
395,21,business
396,21,data mining
397,21,data modeling
398,21,data science
399,21,design
400,21,google cloud platform
401,21,hadoop
402,21,machine learning
403,21,marketing
404,21,mathematics
405,21,predictive modeling
406,21,python
407,21,quantitative analytics
408,21,research
409,21,scala
410,21,sql
411,21,statistical packages
412,21,tableau
413,22,business
414,22,business analysis
415,22,design
416,22,leadership
417,22,machine learning
418,22,python
419,22,resume
420,22,sas
421,22,statistics
422,22,writing
423,23,analytical skills
424,23,analytics
425,23,business
426,23,communication
427,23,data analysis
428,23,data analytics
429,23,data management
430,23,excel
431,23,finance
432,23,hive
433,23,marketing
434,23,master data
435,23,master data management
436,23,microsoft excel
437,23,multidimensional expressions
438,23,multidimensional expressions (mdx)
439,23,operations
440,23,pivot tables
441,23,power bi
442,23,resume
443,23,sales
444,23,spreadsheets
445,23,sql
446,24,analytics
447,24,applied mathematics
448,24,business
449,24,communication
450,24,computer science
451,24,core data
452,24,data analysis
453,24,data mining
