,position,company,location
0,Data Scientist,Gene Therapy Startup,"Pasadena, California"
1,Data Analyst,NBS - Local Government Consultants,"Temecula, California"
2,"Data Analyst with Fortune 10 - Remote Option, Flexible Hours",Modis,"Ontario, California, United States"
3,Data Analyst,TikTok,"Los Angeles, California, United States"
4,Data Analyst,Live Nation Entertainment,"Los Angeles, California, United States"
5,Data Analyst,WebMD,"El Segundo, California, United States"
6,Data Analyst,ALC,"Irvine, CA, US"
7,Data Analyst- Top Hedge Fund,Glocomms,Los Angeles Metropolitan Area
8,Data Analyst - Fixed Income Asset Manager,Analytic Recruiting Inc.,"Los Angeles, California, United States"
9,Data Analyst,Swinerton,"Santa Ana, CA, US"
10,"Data Analyst (SAS, statistics, SQL, Healthcare)","Kinetic Personnel Group, Inc","Ontario, California"
11,Data Analyst,PeerStreet,"El Segundo, CA, US"
12,Data Analyst and Reporting -Culver City,ATMECS Inc,"Culver City, CA, US"
13,Global Data Analyst,Dermalogica,"Carson, California"
14,Sr Business Data Analyst,Harbor Freight Tools,"Calabasas, California"
15,Business Data Analyst,Össur,"92610, Foothill Ranch, California, United States"
16,Data Analyst,"Veritone, Inc.","Costa Mesa, CA, US"
17,Sr. Customer Data Analyst (Python),Farmers Insurance,"Woodland Hills, CA, US"
18,Data Analyst III,Pacific Premier Bank,"Irvine, CA, US"
19,Business Data Analyst,Snap Inc.,"Los Angeles, CA, US"
20,Data Analyst,NCSOFT,"Aliso Viejo, California, United States"
21,Data Analyst,Ultimate Staffing,"Newport Beach, CA, US"
22,Excel Data Analyst,Southern California Edison (SCE),"Pomona, CA, US"
23,Data Analyst,Honey,"Los Angeles, CA, US"
24,Data Analyst,Cenergy International Services,"Fullerton, CA, US"
25,Data Analyst,Cenergy,"Fullerton, CA, US"
26,Associate Data Scientist,Disney Television Animation,"Glendale, CA, US"
27,Data Analyst - Engineering Success,Twitch,"Irvine, CA, US"
28,"Data Analyst, Content",The Athletic,"Los Angeles, CA, US"
29,Data Analyst / Growth Hacker,SureSale,"Santa Monica, CA, US"
30,Data Analyst,Vaco,"Irvine, CA, US"
31,Senior Data Analyst,Harnham,"Los Angeles, California, United States"
32,"Data Analyst, Senior - Informatica",City of Hope,"Irwindale, CA, US"
33,Data Analyst,TrueData,"Los Angeles, CA, US"
34,Business Intelligence Data Analyst,Dun & Bradstreet,"Malibu, CA, US"
35,Data Analyst,Nexon OC,"Irvine, CA, US"
36,"Senior Data Analyst, Data Insights",Hulu,"Santa Monica, CA, US"
37,Data Analyst,"C&L Group, LLC","Culver City, CA, US"
38,Junior Data Analyst,Nativo Inc,"Los Angeles, CA, US"
39,DATA ANALYST,Naval Air Systems Command (NAVAIR),"Twentynine Palms, CA, US"
40,Data Analyst,Staffigo,"Los Angeles, CA, US"
41,Data Analyst,East West Bank,"Pasadena, CA, US"
42,Data Scientist,Evolvinc,"Burbank, CA, US"
43,Sr. Data Analyst,Universal Music Group,"Woodland Hills, CA, US"
44,"Content Data Scientist, Apple Media Products Data Science",Apple,"Culver City, CA, US"
45,Data Analyst,The Judge Group,"Irvine, CA, US"
46,Data Analyst,Jam City,"Culver City, California, US"
47,Data Analyst(LIBOR),HIGH BRIDGE & CO.,"Santa Monica, CA, US"
48,Statistical Data Analyst,Clinique,"El Segundo, CA, US"
49,Data Analyst,City National Bank,"Los Angeles, CA, US"
50,Data Analyst,Expertise,"Los Angeles, CA, US"
51,Data Analyst Lead,Cognizant,"Thousand Oaks, CA, US"
52,Marketing Data Analyst,"Scale Media, Inc.","Sherman Oaks, CA, US"
53,Data Analyst,Career Movement,"West Hollywood, CA, US"
54,Conversion Rate Optimization & Data Analyst,Conversion,"Huntington Beach, CA, US"
55,Reporting Data Analyst,Apollo Global Management Inc.,"El Segundo, CA, US"
56,Data Analyst,"Veterans Sourcing Group, LLC","Culver City, CA, US"
57,Compliance Data Analyst,Ingram Micro,"Irvine, CA, US"
58,Data Analyst,Kforce Inc,"Pasadena, CA, US"
59,Data Scientist,BlackLine,"Los Angeles, California, United States"
60,Senior Data Analyst,PlayQ,"Santa Monica, California"
61,Manufacturing Data Analyst II,Niagara Bottling,"Diamond Bar, CA, US"
62,Senior Data Analyst,sweetgreen,"Culver City, California, US"
63,Conversion Rate Optimization & Data Analyst -Los Angeles,Conversion Labs,"Los Angeles, CA, US"
64,"Data Analyst, ISD Business Applications",CHOC Children's,"Orange, CA, US"
65,Data Scientist,"New Reach, Inc.","Santa Monica, CA, US"
66,"Data Analyst, Sr. (Pay for Value)",CalOptima,"Orange, CA, US"
67,Data Scientist,"ConsumerTrack, Inc.","El Segundo, CA, US"
68,Data Scientist,Inspire,"Santa Monica, CA, US"
69,Data Scientist,"Phoenix Staff, Inc.","Irvine, California, United States"
70,Data Analyst,"KellyMitchell Group, Inc","Irvine, CA, US"
71,Data Analyst - Int,Apex Systems,"Rancho Cucamonga, CA, US"
