,company,job_title
0,Pacific Life,Senior Data Management Analyst
1,REVOLVE,Data Intelligence Analyst
2,Össur,Business Data Analyst
3,Hulu,"Senior Analyst, Advanced Analytics"
4,Brady Corporation,Senior Strategic Data Analyst
5,Warner Bros. Entertainment,"Director, Data Analytics and Audience Intelligence"
6,Roku Inc.,ADMINISTRATIVE SERVICES ANALYST I/II
7,Atom Tickets,Data & Business Analyst
8,Southern California Edison (SCE),Manager Practice Innovation
9,"Neustar, Inc.","Associate, Data Analytics Insights"
10,KORE1,BI/Data Analytics Analyst
11,Honey,Data Analyst
12,Bird,"Data Analyst, Finance"
13,East West Bank,Senior Business Analyst
14,New American Funding,Business Data Analyst
15,Pacific Premier Bank,Data Analyst III – SQL query writer
16,Universal Music Group,Data Analyst Level II -Torrance
17,Farmers Insurance,Product Analyst II
18,Tamara Mellon,Senior Business Data Analyst
19,JBCStyle Fashion Recruiters,Financial Data Analyst
20,Edmunds,Analyst
21,JBCconnect | Creative Technology Talent,Sr. Data Analyst
22,MobilityWare,Workday HRIS Analyst
23,Bloom Ads Global Media Group,MEDIA DATA ANALYST
24,ATR International,Data Analyst - Int
25,Swinerton,Data Analyst
26,Kaiser Permanente,"Business Systems Analyst - Business Systems Analysis, SQL"
27,Experian,Big Data Hadoop/Mongo
28,APN Consulting Inc.,"Senior Analyst, Analytics"
29,WebMD,Data Analyst
30,Verizon,Data Analyst
31,Jobot,Senior Business Systems Analyst - Manufacturing
32,Capital Group,Information Security Assurance Analyst - Supply Chain
33,Behr Paint Company,Director of Data and Analytics ( Pro Channel)
34,Disney Television Animation,Associate Data Scientist
35,Mazda North American Operations,Business Strategy Analyst
36,CBS Interactive,Senior Optimization Analyst
37,Thermo Fisher Scientific,Data Analyst(LIBOR) -Santa Monica
38,Parker Aerospace,Junior Data Analyst
39,MiDCOM Group,"Senior Analyst, CRM & Marketing"
40,Apex Systems,Marketing Analyst
41,"Scale Media, Inc.",Strategic FRx Sourcing Analyst
42,Collabera Inc.,Financial Analyst
43,Snap Inc.,Business Data Analyst
44,Ultimate Staffing,Data Analyst
45,The Walt Disney Studios,Senior Financial Analyst - Decision Analytics
46,The Judge Group,Big Data Analyst
47,Nexon OC,Data Analyst
48,Western Asset Management,Data Governance Analyst
49,Cognizant,Data Analyst Lead
50,Didi Hirsch Mental Health Services,Data and Reporting Analyst
51,"Hill International, Inc.",Data Analyst
52,Sony/ATV Music Publishing,Data Analyst (Extreme)
53,Obagi Medical Products,Master Data Analyst
54,818,Credit Data Analyst
55,"Healthpeak Properties, Inc.",Data Analyst
56,9thWonder Agency,Data Analyst
57,Dollar Shave Club,Sr. Data Analyst
58,First American Title,"Salesforce Business Analyst, TV Distribution Technology"
59,Robert Half,Coding and Compliance Auditor
60,"Georgia IT, Inc.","Data Analyst - Santa Ana, CA"
