,job_id,job_title,company,location,senority,posted_time,employment_type,scrape_time,search_query,search_location
0,0,Supply Chain Data Scientist,Focus GTS,"Thousand Oaks, California, United States",,Posted 5 days ago,,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
1,1,Data Analyst,NBS - Local Government Consultants,"Temecula, California",,Posted 1 week ago,,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
2,2,Data Scientist,Esri,"Redlands, CA, US",,Posted 1 week ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
3,3,Data Analyst,TikTok,"Los Angeles, California, United States",Mid-Senior level,Posted 6 days ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
4,4,Data Analyst,Live Nation Entertainment,"Los Angeles, California, United States",Mid-Senior level,Posted 1 week ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
5,5,Business/Data Analyst,Modis,"Ontario, California, United States",,Posted 3 days ago,,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
6,6,Data Analyst,WebMD,"El Segundo, California, United States",Mid-Senior level,Posted 6 days ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
7,7,Data Analyst,9thWonder Agency,"West Hollywood, California, United States",Mid-Senior level,Posted 2 weeks ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
8,8,Data Analyst,"Hill International, Inc.","Pomona, CA, US",Entry level,Posted 4 weeks ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
9,9,Investment Data Analyst,AssetMark,"Encino, CA, US",Entry level,Posted 2 hours ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
10,10,Data Analyst and Reporting -Culver City,ATMECS Inc,"Culver City, CA, US",Entry level,Posted 4 days ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
11,11,Data Analyst,Credit Union of Southern California,"Anaheim, CA, US",Entry level,Posted 1 month ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
12,12,Global Data Analyst,Dermalogica,"Carson, California",Associate,Posted 2 weeks ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
13,13,Data Analyst,Swinerton,"Santa Ana, CA, US",Entry level,Posted 2 weeks ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
