,job_id,skills
0,0,Python (Programming Language)
1,0,Analytical Skills
2,0,Data Science
3,0,Data Integration
4,0,Manufacturing Engineering
5,0,Communication
6,0,Biopharmaceuticals
7,0,Supply Chain Management
8,0,Supply Chain Operations
9,0,Operations
10,0,Bachelor's Degree
11,1,Mathematics
12,1,Computer Science
13,1,Data Analysis
14,1,Data Science
15,1,SQL Server Reporting Services (SSRS)
16,1,Data Architecture
17,1,Microsoft Power BI
18,1,Data Analytics
19,1,Relational Databases
20,1,Data Modeling
21,3,Mathematics
22,3,Analytical Skills
23,3,Data Analysis
24,3,A/B Testing
25,3,Data Visualization
26,3,Written Communication
27,3,Tableau
28,3,Amplitude Analytics
29,3,Data Analytics
30,3,Marketing Analytics
31,4,SQL
32,4,Analytical Skills
33,4,Analytics
34,4,Data Visualization
35,4,Tableau
36,4,Reporting Tool
37,4,Job Scheduling
38,4,Data Analytics
39,4,Problem Solving
40,4,Azure Databricks
41,5,SQL
42,5,Data Analysis
43,5,Business
44,5,Health Policy
45,5,Fortune 500
46,5,Microsoft Excel
47,5,Tableau
48,5,Writing
49,5,Resume
50,5,Sequel
51,6,Data Analysis
52,6,Data Science
53,6,Analytics
54,6,Coding Practices
55,6,Data Visualization
56,6,Tableau
57,6,Data Analytics
58,6,Data Models
59,6,Key Metrics
60,6,Data Warehousing
61,7,Mathematics
62,7,Analytical Skills
63,7,Data Analysis
64,7,Tableau
65,7,Advertising Campaigns
66,7,Statistical Analysis
67,7,Google Data Studio
68,7,Google Tag Manager
69,7,"Extract, Transform, Load (ETL)"
70,7,Datorama
71,12,SQL
72,12,Data Visualization
73,12,Tableau
74,12,Data Validation
75,12,Microsoft Power BI
76,12,Adaptive Insights
77,12,Data Manipulation
78,12,Data Analytics
79,12,Databases
80,12,Solution Focused
81,12,Bachelor's Degree
82,14,Analytical Skills
83,14,Data Analysis
84,14,Capital Markets
85,14,Financial Technology
86,14,Hedge Funds
87,14,Financial Analysis
88,14,Asset Management
89,14,Business Analysis
90,14,Data Management
91,14,Business Intelligence (BI)
92,14,Bachelor's Degree
93,21,Mathematics
94,21,SQL
95,21,Tableau
96,21,Hadoop
97,21,Machine Learning
98,21,Predictive Modeling
99,21,Data Mining
100,21,Big Data
101,21,Quantitative Analytics
102,21,Data Modeling
103,23,SQL
104,23,Analytical Skills
105,23,Data Analysis
106,23,Pivot Tables
107,23,Microsoft Excel
108,23,Spreadsheets
109,23,Data Analytics
110,23,MultiDimensional eXpressions (MDX)
111,23,Data Management
112,23,Operations
113,25,Computer Science
114,25,Analytics
115,25,Advertising
116,25,Apache Spark
117,25,Data Solutions
118,25,Information Systems
119,25,Hadoop
120,25,Data Mining
121,25,Big Data
122,25,Design
123,25,Bachelor's Degree
124,26,Computer Science
125,26,Data Science
126,26,Bioinformatics
127,26,DNA Sequencing
128,26,Pipeline Development
129,26,Bioengineering
130,26,Sequencing
131,26,Machine Learning
132,26,Bachelor's Degree
133,27,Leadership
134,27,Data Science
135,27,Mentoring
136,27,Communication
137,27,Machine Learning
138,27,Anti-fraud
139,27,Customer Retention
140,27,Customer Engagement
141,27,Lifetime Value
142,27,Audience Segmentation
143,27,Master's Degree
144,32,SQL
145,32,Analytical Skills
146,32,Data Analysis
147,32,Data Science
148,32,Process Improvement
149,32,Tableau
150,32,Data Analytics
151,32,Data Mining
152,32,Big Data
153,32,Business Intelligence (BI)
154,36,SQL
155,36,Analytics
156,36,Capital Markets
157,36,Corporate Bonds
158,36,Microsoft Excel
159,36,Tableau
160,36,Risk Analytics
161,36,Data Analytics
162,36,Data Management
163,36,Fixed Income
164,36,Bachelor's Degree
165,50,Analytical Skills
166,50,Data Analysis
167,50,Data Science
168,50,Analytics
169,50,A/B Testing
170,50,Tableau
171,50,E-commerce
172,50,Google Analytics
173,50,Data Analytics
174,50,Web Analytics
175,52,SQL
176,52,Analytical Skills
177,52,Data Analysis
178,52,Tableau
179,52,Bayesian statistics
180,52,Google BigQuery
181,52,Looker (Software)
182,52,Snowflake
183,52,Presentation Skills
184,52,Data Quality
185,67,NoSQL
186,67,Apache Spark
187,67,Google Cloud Platform (GCP)
188,67,Hadoop
189,67,Azure Data Factory
190,67,Big Data
191,67,Microsoft Azure
192,67,"Extract, Transform, Load (ETL)"
193,67,Amazon Web Services (AWS)
194,67,Data Pipelines
195,69,Analytical Skills
196,69,Computer Science
197,69,Data Analysis
198,69,Data Science
199,69,Statistical Packages
200,69,Scriptwriting
201,69,Data Architecture
202,69,Data Analytics
203,69,Data Models
204,69,Query Writing
205,69,Bachelor's Degree
206,71,Analytical Skills
207,71,Data Analysis
208,71,Data Science
209,71,Research Projects
210,71,Data Visualization
211,71,Statistical Modeling
212,71,Machine Learning
213,71,Data Analytics
214,71,Business Insights
215,71,Weka
216,71,Bachelor's Degree
217,73,SQL
218,73,Analytical Skills
219,73,Data Analysis
220,73,Data Science
221,73,Reporting & Analysis
222,73,Microsoft Excel
223,73,SQL Server Reporting Services (SSRS)
224,73,Data Analytics
225,73,SAS
226,73,Data Presentation
227,73,Bachelor's Degree
228,79,Python (Programming Language)
229,79,Analytical Skills
230,79,Data Analysis
231,79,BlackRock Aladdin
232,79,Microsoft Excel
233,79,Financial Data
234,79,LIBOR
235,79,Finance
236,79,Visual Basic for Applications (VBA)
237,79,Project Management
238,94,SQL
239,94,Data Science
240,94,Data Engineering
241,94,Plain Language
242,94,Data Munging
243,94,Multivariate Analysis
244,94,BlackLine
245,94,Google Cloud Platform (GCP)
246,94,Accounting
247,94,Amazon Web Services (AWS)
248,94,Master's Degree
249,96,Mathematics
250,96,Statistics
251,96,Python (Programming Language)
252,96,Data Analysis
253,96,Data Science
254,96,Data Analytics
255,96,Problem Solving
256,96,Marketing
257,96,R
258,96,Query Writing
259,96,Bachelor's Degree
260,106,Mathematics
261,106,Statistics
262,106,Analytical Skills
263,106,Data Analysis
264,106,Insurance
265,106,Critical Thinking
266,106,Problem Solving
267,106,Presentations
268,106,Project Management
269,106,401(k) Retirement Savings Plans
270,106,Bachelor's Degree
271,157,Mathematics
272,157,Analytical Skills
273,157,Data Science
274,157,Analytics
275,157,Cookies
276,157,Advertising Sales
277,157,Sales
278,157,Identifying Trends
