,job_id,job_title,company,location,senority,posted_time,employment_type,scrape_time,search_query,search_location,skills
0,0,Supply Chain Data Scientist,Focus GTS,"Thousand Oaks, California, United States",,Posted 5 days ago,,2020-04-05 22:16:04.007882,data scientist,greater los angeles area,Python (Programming Language)
1,0,Supply Chain Data Scientist,Focus GTS,"Thousand Oaks, California, United States",,Posted 5 days ago,,2020-04-05 22:16:04.007882,data scientist,greater los angeles area,Analytical Skills
2,0,Supply Chain Data Scientist,Focus GTS,"Thousand Oaks, California, United States",,Posted 5 days ago,,2020-04-05 22:16:04.007882,data scientist,greater los angeles area,Data Science
3,0,Supply Chain Data Scientist,Focus GTS,"Thousand Oaks, California, United States",,Posted 5 days ago,,2020-04-05 22:16:04.007882,data scientist,greater los angeles area,Data Integration
4,0,Supply Chain Data Scientist,Focus GTS,"Thousand Oaks, California, United States",,Posted 5 days ago,,2020-04-05 22:16:04.007882,data scientist,greater los angeles area,Manufacturing Engineering
5,0,Supply Chain Data Scientist,Focus GTS,"Thousand Oaks, California, United States",,Posted 5 days ago,,2020-04-05 22:16:04.007882,data scientist,greater los angeles area,Communication
6,0,Supply Chain Data Scientist,Focus GTS,"Thousand Oaks, California, United States",,Posted 5 days ago,,2020-04-05 22:16:04.007882,data scientist,greater los angeles area,Biopharmaceuticals
7,0,Supply Chain Data Scientist,Focus GTS,"Thousand Oaks, California, United States",,Posted 5 days ago,,2020-04-05 22:16:04.007882,data scientist,greater los angeles area,Supply Chain Management
8,0,Supply Chain Data Scientist,Focus GTS,"Thousand Oaks, California, United States",,Posted 5 days ago,,2020-04-05 22:16:04.007882,data scientist,greater los angeles area,Supply Chain Operations
9,0,Supply Chain Data Scientist,Focus GTS,"Thousand Oaks, California, United States",,Posted 5 days ago,,2020-04-05 22:16:04.007882,data scientist,greater los angeles area,Operations
10,0,Supply Chain Data Scientist,Focus GTS,"Thousand Oaks, California, United States",,Posted 5 days ago,,2020-04-05 22:16:04.007882,data scientist,greater los angeles area,Bachelor's Degree
11,1,Data Analyst,NBS - Local Government Consultants,"Temecula, California",,Posted 1 week ago,,2020-04-05 22:16:04.007882,data scientist,greater los angeles area,Mathematics
12,1,Data Analyst,NBS - Local Government Consultants,"Temecula, California",,Posted 1 week ago,,2020-04-05 22:16:04.007882,data scientist,greater los angeles area,Computer Science
13,1,Data Analyst,NBS - Local Government Consultants,"Temecula, California",,Posted 1 week ago,,2020-04-05 22:16:04.007882,data scientist,greater los angeles area,Data Analysis
14,1,Data Analyst,NBS - Local Government Consultants,"Temecula, California",,Posted 1 week ago,,2020-04-05 22:16:04.007882,data scientist,greater los angeles area,Data Science
15,1,Data Analyst,NBS - Local Government Consultants,"Temecula, California",,Posted 1 week ago,,2020-04-05 22:16:04.007882,data scientist,greater los angeles area,SQL Server Reporting Services (SSRS)
16,1,Data Analyst,NBS - Local Government Consultants,"Temecula, California",,Posted 1 week ago,,2020-04-05 22:16:04.007882,data scientist,greater los angeles area,Data Architecture
17,1,Data Analyst,NBS - Local Government Consultants,"Temecula, California",,Posted 1 week ago,,2020-04-05 22:16:04.007882,data scientist,greater los angeles area,Microsoft Power BI
18,1,Data Analyst,NBS - Local Government Consultants,"Temecula, California",,Posted 1 week ago,,2020-04-05 22:16:04.007882,data scientist,greater los angeles area,Data Analytics
19,1,Data Analyst,NBS - Local Government Consultants,"Temecula, California",,Posted 1 week ago,,2020-04-05 22:16:04.007882,data scientist,greater los angeles area,Relational Databases
20,1,Data Analyst,NBS - Local Government Consultants,"Temecula, California",,Posted 1 week ago,,2020-04-05 22:16:04.007882,data scientist,greater los angeles area,Data Modeling
21,3,Data Analyst,TikTok,"Los Angeles, California, United States",Mid-Senior level,Posted 6 days ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area,Mathematics
22,3,Data Analyst,TikTok,"Los Angeles, California, United States",Mid-Senior level,Posted 6 days ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area,Analytical Skills
23,3,Data Analyst,TikTok,"Los Angeles, California, United States",Mid-Senior level,Posted 6 days ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area,Data Analysis
24,3,Data Analyst,TikTok,"Los Angeles, California, United States",Mid-Senior level,Posted 6 days ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area,A/B Testing
